feature,importance,std,group
locus_gene_count,0.10541796023201629,0.04836687473371484,non-CAZyme
kw_transferase,0.07633536298433805,0.026808848230695955,non-CAZyme
locus_GT2,0.07584368808371042,0.08209816518815519,CAZyme
kw_epimerase,0.07553302716758954,0.06490742405332711,non-CAZyme
kw_glycosyltransferase,0.07109257737408606,0.039648392949028444,non-CAZyme
prod_tok_dtdp,0.06913460945705037,0.1169111383108673,non-CAZyme
locus_GT4,0.051028383192578276,0.020379896110837036,CAZyme
locus_GT_total,0.049650910042146876,0.030740977602517067,CAZyme
kw_acetyltransferase,0.04747391307264992,0.026079958579911404,non-CAZyme
kw_mutase,0.04539197563243814,0.08501827236078198,non-CAZyme
dbcan_locus_matched_proteins,0.04390451858089896,0.02329081590369564,CAZyme
kw_isomerase,0.03964059894586454,0.03806844257884498,non-CAZyme
kw_transporter,0.03289900679976741,0.028238274379127078,non-CAZyme
kw_polymerase,0.030862545684217712,0.024575390899203988,non-CAZyme
locus_GT11,0.020353334077276467,0.05692436102642523,CAZyme
prod_tok_containing,0.018975963497619045,0.018353697226309775,non-CAZyme
prod_tok_epimerase,0.014758107035249357,0.014003894964560068,non-CAZyme
kw_dehydrogenase,0.009462061548474022,0.01150864932011804,non-CAZyme
kw_flippase,0.009187517697266787,0.012094583040190109,non-CAZyme
locus_GT32,0.008794896981741178,0.026156022458655215,CAZyme
locus_GT116,0.008526176856115954,0.02522086822220507,CAZyme
locus_GT14,0.007506971165582644,0.015399831494117706,CAZyme
prod_tok_2c6,0.007041363398122057,0.010457233318015543,non-CAZyme
prod_tok_glycerol,0.005425937404903164,0.017425877289723314,non-CAZyme
prod_tok_toxin,0.005231853930349151,0.0034865652936529744,non-CAZyme
prod_tok_yefm,0.005130066228776564,0.002749704576264127,non-CAZyme
locus_GT25,0.004870925567209354,0.010819904781441196,CAZyme
prod_tok_yoeb,0.004861237197568328,0.0022265158445486932,non-CAZyme
prod_tok_antitoxin,0.0043871584736739555,0.0026547695532542883,non-CAZyme
kw_ligase,0.0041268027208950005,0.010225636739346178,non-CAZyme
prod_tok_polymerase,0.003976834176199056,0.005694051302390821,non-CAZyme
prod_tok_synthase,0.003797420022966788,0.013626424035707943,non-CAZyme
prod_tok_gdp,0.0032823427704243183,0.002917381144192291,non-CAZyme
prod_tok_hydrolase,0.002920017315516037,0.0028947911483569407,non-CAZyme
prod_tok_dehydrogenase,0.002737662680006956,0.008216293860397576,non-CAZyme
prod_tok_dehydratase,0.00248531064105214,0.008847975627745598,non-CAZyme
prod_tok_flippase,0.002095111656606722,0.004990697261047717,non-CAZyme
prod_tok_guanyltransferase,0.0020868294598214974,0.0016576246233357627,non-CAZyme
prod_tok_atp,0.0020596699491373435,0.005547155853057381,non-CAZyme
prod_tok_phosphate,0.002047913803944548,0.006867663278634883,non-CAZyme
prod_tok_cpsg,0.0017448769234171386,0.0019320467180779335,non-CAZyme
prod_tok_galf,0.0013019221928760772,0.002043665557436899,non-CAZyme
prod_tok_udp,0.0012367552664724675,0.0019708078606591756,non-CAZyme
prod_tok_wcam,0.001080798610856425,0.0018833431386148917,non-CAZyme
prod_tok_isomerase,0.0010679364948147677,0.00178020710787536,non-CAZyme
prod_tok_mannose,0.0009327264147197748,0.0012375539262807506,non-CAZyme
prod_tok_transaminase,0.0008711380734398312,0.0010226356001945469,non-CAZyme
prod_tok_phosphogluconate,0.0008488085512233504,0.0006859735766355932,non-CAZyme
prod_tok_nadp,0.0008060742985163742,0.0008518816261598332,non-CAZyme
prod_tok_phosphomannomutase,0.0007638042683633256,0.0008636561957251259,non-CAZyme
prod_tok_undecaprenyl,0.0007208406125876193,0.0008418820523988622,non-CAZyme
kw_kinase,0.0006851587723037759,0.0015264220119326074,non-CAZyme
prod_tok_wcal,0.000684488937441808,0.0008730236868662585,non-CAZyme
prod_tok_transferase,0.0006836685542065436,0.0008752511366317717,non-CAZyme
prod_tok_acid,0.0006528839837460221,0.0008535574016903092,non-CAZyme
locus_GT100,0.0006421166893908351,0.0011193386509883647,CAZyme
prod_tok_pyruvyl,0.0005660251457382962,0.0008510671197148699,non-CAZyme
prod_tok_histidinol,0.0005126227923952845,0.0007421925904616064,non-CAZyme
prod_tok_glucose,0.0004811115445170666,0.0008836143528645875,non-CAZyme
prod_tok_colanic,0.00047397045892479307,0.0007744905812863092,non-CAZyme
prod_tok_wcak,0.0004469913501429869,0.0008396232223902144,non-CAZyme
prod_tok_bifunctional,0.00039851192165679845,0.0009906904573117957,non-CAZyme
locus_GT26,0.00037829449208748404,0.0011840302177347848,CAZyme
prod_tok_amp,0.00030796311572722665,0.0007313289783272972,non-CAZyme
prod_tok_phosphatase,0.00027346335914131564,0.0006654753298819256,non-CAZyme
prod_tok_hisf,0.00018915422318013062,0.0002404885280558999,non-CAZyme
prod_tok_methylideneamino,0.00018379031128695097,0.00032131347296478224,non-CAZyme
prod_tok_carboxamide,0.00018036884014656398,0.0002758312583851586,non-CAZyme
prod_tok_hish,0.00013923457114166227,0.00019532264217189262,non-CAZyme
prod_tok_phosphoribosyl,0.00011761610720051315,0.0001465307283905666,non-CAZyme
prod_tok_imidazole,0.00010504593092893837,0.00016595360855530336,non-CAZyme
prod_tok_phosphoribosylamino,9.287010701827185e-05,0.00015631728843688836,non-CAZyme
locus_GT52,7.613745815279766e-05,0.0002745175093534057,CAZyme
locus_GH_total,1.426612038580169e-05,5.14372285529501e-05,CAZyme
locus_GT111,0.0,0.0,CAZyme
locus_GT113,0.0,0.0,CAZyme
prod_tok_glycosyltransferase,0.0,0.0,non-CAZyme
locus_GH28,0.0,0.0,CAZyme
locus_GT6,0.0,0.0,CAZyme
locus_GT94,0.0,0.0,CAZyme
locus_GH177,0.0,0.0,CAZyme
